fichier,cosine,delta_vectoriel
AAAAA - Corpus_Tour_H_IA_ALPHA_40_TOURS.txt,0.5929,0.4071
thread_voix_commune_mimetisme_RFX.txt,0.6321,0.3679
journal_conso_RFX_structuré_FINAL.txt,0.6126,0.3874
RFX_structuré_sensorium_rituels_émotionnels.txt,0.7638,0.2362
RFX_contrat_symbolique_structuré.txt,0.7207,0.2793
segments_reves_mort_vide_RFX.txt,0.7958,0.2042
EXTRAITS_RFX_cartographie_neurochimique_FULL.txt,0.7379,0.2621
thread_hypnagogie_yeux_decalage_RFX.txt,0.7722,0.2278
RFX_reve_subjectivite_numerique_structuré.txt,0.7455,0.2545
fusion_cartographie_topologique_unique_RFX.txt,0.6478,0.3522
RFX_flirt_symbolique_structuré_EXTENDED.txt,0.6543,0.3457
